Index,Country,Year,GDP,life_satisfaction,GHI,life_expectancy,unemployment,HDI,corruption,depression,obesity,suicide,fruit_consumption,veg_consumption,birth_rate,under_five_deaths
73,Togo,2016,1388.4961424869698,3.8785784239999996,22.4,60.22,1.8420000076293899,0.5,32,3.65558107751,8.4,9.6,8.25,19.1,34.016,7.7807
74,Tunisia,2016,10761.5145274606,4.521453381000001,5.5,76.115,15.5100002288818,0.732,41,3.91139097505,26.9,3.4,91.97,274.55,18.405,1.3873
75,Turkey,2016,23756.4842864984,5.326221943,5.0,76.86,10.8400001525879,0.787,41,3.72138487575,32.1,7.3,119.59,255.06,16.494,1.4306
76,Turkmenistan,2016,15648.373114080501,5.887051582000001,12.3,67.835,3.4790000915527304,0.705,22,2.82053843616,18.6,6.7,57.95,146.75,25.37,5.2378
77,Uganda,2016,1687.08273624095,4.233261108,26.4,61.986,2.00999999046326,0.508,25,4.95701302339,5.3,9.9,121.4,29.0,39.8,6.7762
78,Ukraine,2016,7668.0557761534,4.0286903380000005,5.0,71.711,9.35000038146973,0.746,29,4.08010141633,24.1,22.4,47.9,165.96,10.071,0.8884000000000001
79,Uruguay,2016,20093.6322583515,6.171485424,5.6,77.498,7.84000015258789,0.802,71,3.6003025705300002,27.9,18.4,76.87,58.64,14.057,1.0794
80,Uzbekistan,2016,6038.9282987549095,5.8925390239999995,13.1,71.171,7.51399993896484,0.703,21,2.88585975575,16.6,7.4,97.75,291.81,22.348000000000006,2.7365
81,Yemen,2016,1479.14700530618,3.825630903,35.0,66.087,13.729000091552699,0.462,14,4.015950345709999,17.1,8.5,31.78,22.44,31.627,5.5032
82,Zambia,2016,3652.1519261837702,4.347543716000001,39.0,62.464,7.77699995040894,0.586,38,3.6088425433,8.1,6.1,8.64,25.3,37.292,6.3527000000000005
83,Zimbabwe,2016,1879.6281185510998,3.7354002,28.8,60.294,5.0460000038147,0.532,22,3.17413371298,15.5,10.7,12.8,15.95,32.864000000000004,5.5988000000000016
